transaction_id,user_id,campaign_id,amount
1,396,10,887000.0
2,419,9,607000.0
3,71,12,1169000.0
4,489,19,1029000.0
5,360,13,1258000.0
6,89,3,752000.0
7,262,1,828000.0
8,449,4,829000.0
9,366,11,532000.0
10,464,1,844000.0
11,188,9,1312000.0
12,112,11,1413000.0
13,452,5,1032000.0
14,413,14,1040000.0
15,422,2,510000.0
16,239,2,1325000.0
17,476,13,534000.0
18,256,9,1454000.0
19,150,13,1030000.0
20,127,8,792000.0
21,392,4,1415000.0
22,319,16,496000.0
23,480,15,1059000.0
24,481,13,1092000.0
25,397,4,715000.0
26,411,11,940000.0
27,402,6,1156000.0
28,274,2,1179000.0
29,333,19,513000.0
30,470,2,1380000.0
31,446,20,654000.0
32,398,8,690000.0
33,139,3,767000.0
34,103,10,544000.0
35,242,18,666000.0
36,117,13,1547000.0
37,214,15,798000.0
38,484,12,590000.0
39,17,13,632000.0
40,179,17,1291000.0
41,224,4,1346000.0
42,270,9,762000.0
43,490,4,517000.0
44,313,20,711000.0
45,349,20,548000.0
46,134,1,606000.0
47,114,13,970000.0
48,441,19,748000.0
49,132,3,1020000.0
50,139,10,761000.0
51,365,19,1476000.0
52,232,1,1411000.0
53,458,13,1111000.0
54,375,5,866000.0
55,92,19,903000.0
56,267,20,897000.0
57,99,20,1208000.0
58,207,9,958000.0
59,8,17,1437000.0
60,468,17,1529000.0
61,370,5,847000.0
62,443,16,1004000.0
63,405,1,597000.0
64,321,11,708000.0
65,93,4,907000.0
66,408,2,678000.0
67,158,2,1322000.0
68,360,13,685000.0
69,99,5,969000.0
70,225,13,1151000.0
71,340,2,1145000.0
72,441,5,895000.0
73,208,10,1384000.0
74,73,15,1046000.0
75,479,5,952000.0
76,401,12,544000.0
77,59,18,1032000.0
78,287,12,1267000.0
79,64,4,1107000.0
80,256,1,1337000.0
81,48,18,1063000.0
82,279,1,621000.0
83,198,18,549000.0
84,158,10,812000.0
85,311,19,1227000.0
86,7,15,1264000.0
87,248,20,783000.0
88,368,6,999000.0
89,232,14,1003000.0
90,106,7,920000.0
91,494,9,736000.0
92,459,12,610000.0
93,98,18,745000.0
94,268,20,546000.0
95,60,14,760000.0
96,500,8,479000.0
97,308,8,1060000.0
98,493,13,850000.0
99,495,4,1463000.0
100,411,2,666000.0
101,140,6,848000.0
102,397,4,852000.0
103,328,5,515000.0
104,464,4,1330000.0
105,190,1,534000.0
106,125,1,1446000.0
107,413,20,1370000.0
108,163,8,974000.0
109,60,6,1047000.0
110,413,12,1106000.0
111,31,3,891000.0
112,333,20,1129000.0
113,76,14,593000.0
114,243,2,532000.0
115,317,8,900000.0
116,258,18,1122000.0
117,417,20,1366000.0
118,456,9,609000.0
119,190,11,1338000.0
120,489,3,713000.0
121,377,20,880000.0
122,315,4,811000.0
123,296,19,922000.0
124,177,12,624000.0
125,489,11,1015000.0
126,288,9,1310000.0
127,294,4,935000.0
128,348,3,995000.0
129,207,4,1340000.0
130,215,3,1211000.0
131,344,14,1078000.0
132,141,6,760000.0
133,85,1,1390000.0
134,182,20,1060000.0
135,332,18,771000.0
136,128,19,788000.0
137,269,20,1282000.0
138,39,3,546000.0
139,23,6,1497000.0
140,242,13,656000.0
141,366,13,1349000.0
142,107,3,898000.0
143,348,15,972000.0
144,142,4,1372000.0
145,145,4,907000.0
146,280,10,1049000.0
147,245,11,556000.0
148,442,10,508000.0
149,191,2,715000.0
150,290,18,1262000.0
151,179,4,617000.0
152,112,2,590000.0
153,214,18,974000.0
154,138,20,1129000.0
155,374,17,1283000.0
156,200,15,665000.0
157,405,12,556000.0
158,421,10,1456000.0
159,7,2,731000.0
160,346,8,1272000.0
161,13,6,1368000.0
162,80,4,1264000.0
163,286,13,696000.0
164,159,9,1331000.0
165,389,2,1219000.0
166,416,4,1090000.0
167,272,12,803000.0
168,495,2,733000.0
169,201,17,658000.0
170,150,9,1016000.0
171,448,9,1092000.0
172,428,11,869000.0
173,296,16,923000.0
174,493,5,875000.0
175,293,12,1094000.0
176,334,10,1416000.0
177,272,4,660000.0
178,43,18,942000.0
179,468,15,628000.0
180,319,12,1079000.0
181,492,17,1301000.0
182,15,17,1516000.0
183,248,13,811000.0
184,172,17,1535000.0
185,218,13,586000.0
186,137,12,1058000.0
187,321,12,534000.0
188,227,13,1451000.0
189,44,3,1034000.0
190,20,18,1250000.0
191,493,18,1424000.0
192,119,1,653000.0
193,454,16,510000.0
194,234,2,1325000.0
195,458,5,826000.0
196,368,13,655000.0
197,379,3,972000.0
198,417,15,1076000.0
199,336,16,503000.0
200,356,9,780000.0
201,262,1,535000.0
202,83,4,914000.0
203,31,12,1338000.0
204,322,20,1459000.0
205,274,12,1090000.0
206,234,4,657000.0
207,28,12,1348000.0
208,252,10,1027000.0
209,324,14,712000.0
